sampler,seed,environment,brain_descriptors_0,brain_descriptors_1,body_descriptors_0,body_descriptors_1,behavior_descriptors_0,behavior_descriptors_1
3b,0,BridgeWalker-v0,-1.0,-1.0,0.8500000238418579,0.4598025679588318,0.11336032301187515,0.7423934936523438
3b,0,PlatformJumper-v0,-1.0,-1.0,0.949999988079071,0.46486419439315796,0.13654617965221405,0.5685483813285828
3b,0,CaveCrawler-v0,-1.0,-1.0,0.75,0.4250560402870178,0.09561753273010254,0.8299999833106995
3b,0,CustomCarrier-v0,-1.0,-1.0,-1.0,-1.0,0.11965811997652054,0.597430408000946
3b,0,BidirectionalWalker-v0,0.10000000149011612,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
3b,0,CustomPusher-v0,-1.0,-1.0,0.75,0.3562099039554596,0.09561753273010254,0.8960000276565552
3b,0,BeamToppler-v0,-1.0,-1.0,0.6000000238418579,0.676515519618988,-1.0,-1.0
3b,0,Pusher-v1,0.10000000149011612,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
3b,0,Catcher-v0,-1.0,-1.0,0.800000011920929,0.5640421509742737,-1.0,-1.0
3b,0,UpStepper-v0,0.0,0.019999999552965164,0.6000000238418579,0.5630338788032532,0.11618257313966751,0.6875
3b,0,DownStepper-v0,-1.0,-1.0,0.6499999761581421,0.31350353360176086,0.12145748734474182,0.5853658318519592
3b,0,ObstacleTraverser-v0,-1.0,-1.0,0.6000000238418579,0.676515519618988,-1.0,-1.0
3b,0,ObstacleTraverser-v1,-1.0,-1.0,0.699999988079071,0.6061590313911438,0.13545817136764526,0.6179999709129333
3b,0,Hurdler-v0,-1.0,-1.0,0.949999988079071,0.46486419439315796,0.13654617965221405,0.5685483813285828
3b,0,GapJumper-v0,-1.0,-1.0,-1.0,-1.0,0.1434262990951538,0.5260000228881836
3b,0,Traverser-v0,-1.0,-1.0,0.550000011920929,0.5319948792457581,-1.0,-1.0
3b,0,Flipper-v0,-1.0,-1.0,0.699999988079071,0.4250560402870178,-1.0,-1.0
3b,0,Jumper-v0,0.10000000149011612,0.1599999964237213,-1.0,-1.0,-1.0,-1.0
3b,0,Balancer-v0,-1.0,-1.0,0.800000011920929,0.4250560402870178,0.087649405002594,0.8619999885559082
3b,0,AreaMaximizer-v0,0.05999999865889549,0.0,-1.0,-1.0,-1.0,-1.0
3b,0,AreaMinimizer-v0,0.07999999821186066,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
3b,0,WingspanMazimizer-v0,0.10000000149011612,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
3b,0,HeightMaximizer-v0,0.05999999865889549,0.019999999552965164,-1.0,-1.0,-1.0,-1.0
3b,1,BridgeWalker-v0,-1.0,-1.0,-1.0,-1.0,0.3187251091003418,0.7120000123977661
3b,1,PlatformJumper-v0,-1.0,-1.0,0.44999998807907104,0.37063008546829224,0.11155378818511963,0.41999998688697815
3b,1,CaveCrawler-v0,-1.0,-1.0,1.0,0.5555555820465088,0.10358566045761108,0.656000018119812
3b,1,CustomCarrier-v0,0.0,0.03999999910593033,0.6000000238418579,0.538491427898407,0.2868525981903076,0.6859999895095825
3b,1,BidirectionalWalker-v0,0.18000000715255737,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
3b,1,CustomPusher-v0,-1.0,-1.0,-1.0,-1.0,0.2788844704627991,0.8379999995231628
3b,1,BeamToppler-v0,-1.0,-1.0,0.30000001192092896,0.663679301738739,-1.0,-1.0
3b,1,Pusher-v1,0.0,0.1599999964237213,-1.0,-1.0,-1.0,-1.0
3b,1,Catcher-v0,0.05999999865889549,0.0,-1.0,-1.0,-1.0,-1.0
3b,1,UpStepper-v0,-1.0,-1.0,0.5,0.4310019016265869,-1.0,-1.0
3b,1,DownStepper-v0,0.0,0.05999999865889549,-1.0,-1.0,0.29482072591781616,0.8820000290870667
3b,1,ObstacleTraverser-v0,-1.0,-1.0,0.949999988079071,0.5555555820465088,0.09561753273010254,0.7200000286102295
3b,1,ObstacleTraverser-v1,0.05999999865889549,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
3b,1,Hurdler-v0,0.05999999865889549,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
3b,1,GapJumper-v0,0.03999999910593033,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
3b,1,Traverser-v0,-1.0,-1.0,-1.0,-1.0,0.25498008728027344,0.7620000243186951
3b,1,Flipper-v0,-1.0,-1.0,0.5,0.3332926034927368,-1.0,-1.0
3b,1,Jumper-v0,0.10000000149011612,0.019999999552965164,-1.0,-1.0,-1.0,-1.0
3b,1,Balancer-v0,0.10000000149011612,0.10000000149011612,-1.0,-1.0,-1.0,-1.0
3b,1,AreaMaximizer-v0,0.019999999552965164,0.20000000298023224,-1.0,-1.0,-1.0,-1.0
3b,1,AreaMinimizer-v0,0.03999999910593033,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
3b,1,WingspanMazimizer-v0,-1.0,-1.0,0.8999999761581421,0.5555555820465088,0.11952191591262817,0.7699999809265137
3b,1,HeightMaximizer-v0,0.05999999865889549,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
3b,2,BridgeWalker-v0,-1.0,-1.0,-1.0,-1.0,0.3302752375602722,0.7511520981788635
3b,2,PlatformJumper-v0,-1.0,-1.0,-1.0,-1.0,0.2650602459907532,0.5161290168762207
3b,2,CaveCrawler-v0,-1.0,-1.0,0.4000000059604645,0.5511452555656433,0.23140496015548706,0.8879668116569519
3b,2,CustomCarrier-v0,0.019999999552965164,0.05999999865889549,-1.0,-1.0,0.21459227800369263,0.631465494632721
3b,2,BidirectionalWalker-v0,0.10000000149011612,0.10000000149011612,-1.0,-1.0,-1.0,-1.0
3b,2,CustomPusher-v0,0.0,0.03999999910593033,0.8999999761581421,0.4791506230831146,0.33673468232154846,0.7230769395828247
3b,2,BeamToppler-v0,-1.0,-1.0,-1.0,-1.0,0.2024291455745697,0.40243902802467346
3b,2,Pusher-v1,0.1599999964237213,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
3b,2,Catcher-v0,0.03999999910593033,0.05999999865889549,-1.0,-1.0,-1.0,-1.0
3b,2,UpStepper-v0,-1.0,-1.0,0.949999988079071,0.422516793012619,-1.0,-1.0
3b,2,DownStepper-v0,-1.0,-1.0,-1.0,-1.0,0.2049180269241333,0.47433266043663025
